"행정구역","2023년07월_거주자_총인구수","2023년07월_거주자_연령구간인구수","2023년07월_거주자_0~4세","2023년07월_거주자_5~9세","2023년07월_거주자_10~14세","2023년07월_거주자_15~19세","2023년07월_거주자_20~24세","2023년07월_거주자_25~29세","2023년07월_거주자_30~34세","2023년07월_거주자_35~39세","2023년07월_거주자_40~44세","2023년07월_거주자_45~49세","2023년07월_거주자_50~54세","2023년07월_거주자_55~59세","2023년07월_거주자_60~64세","2023년07월_거주자_65~69세","2023년07월_거주자_70~74세","2023년07월_거주자_75~79세","2023년07월_거주자_80~84세","2023년07월_거주자_85~89세","2023년07월_거주자_90~94세","2023년07월_거주자_95~99세","2023년07월_거주자_100세 이상","2023년07월_남_거주자_총인구수","2023년07월_남_거주자_연령구간인구수","2023년07월_남_거주자_0~4세","2023년07월_남_거주자_5~9세","2023년07월_남_거주자_10~14세","2023년07월_남_거주자_15~19세","2023년07월_남_거주자_20~24세","2023년07월_남_거주자_25~29세","2023년07월_남_거주자_30~34세","2023년07월_남_거주자_35~39세","2023년07월_남_거주자_40~44세","2023년07월_남_거주자_45~49세","2023년07월_남_거주자_50~54세","2023년07월_남_거주자_55~59세","2023년07월_남_거주자_60~64세","2023년07월_남_거주자_65~69세","2023년07월_남_거주자_70~74세","2023년07월_남_거주자_75~79세","2023년07월_남_거주자_80~84세","2023년07월_남_거주자_85~89세","2023년07월_남_거주자_90~94세","2023년07월_남_거주자_95~99세","2023년07월_남_거주자_100세 이상","2023년07월_여_거주자_총인구수","2023년07월_여_거주자_연령구간인구수","2023년07월_여_거주자_0~4세","2023년07월_여_거주자_5~9세","2023년07월_여_거주자_10~14세","2023년07월_여_거주자_15~19세","2023년07월_여_거주자_20~24세","2023년07월_여_거주자_25~29세","2023년07월_여_거주자_30~34세","2023년07월_여_거주자_35~39세","2023년07월_여_거주자_40~44세","2023년07월_여_거주자_45~49세","2023년07월_여_거주자_50~54세","2023년07월_여_거주자_55~59세","2023년07월_여_거주자_60~64세","2023년07월_여_거주자_65~69세","2023년07월_여_거주자_70~74세","2023년07월_여_거주자_75~79세","2023년07월_여_거주자_80~84세","2023년07월_여_거주자_85~89세","2023년07월_여_거주자_90~94세","2023년07월_여_거주자_95~99세","2023년07월_여_거주자_100세 이상"
"서울특별시 서울특별시 영등포구 (1156000000)","372,897","372,897","10,702","12,098","11,485","11,821","20,116","37,240","39,363","30,709","29,023","24,851","28,748","25,748","26,783","21,678","15,566","11,944","8,849","4,436","1,406","282","49","182,824","182,824","5,477","6,207","5,838","6,197","9,003","17,048","19,671","15,819","15,039","12,672","14,476","13,093","13,253","10,414","7,261","5,385","3,776","1,680","430","73","12","190,073","190,073","5,225","5,891","5,647","5,624","11,113","20,192","19,692","14,890","13,984","12,179","14,272","12,655","13,530","11,264","8,305","6,559","5,073","2,756","976","209","37"
"서울특별시 영등포구 영등포본동(1156051500)","20,717","20,717","561","623","556","584","1,098","1,634","1,646","1,539","1,512","1,336","1,772","1,721","1,809","1,543","1,083","761","557","286","76","16","4","10,621","10,621","276","322","293","302","558","881","893","831","795","694","911","892","949","794","503","354","250","97","20","6","0","10,096","10,096","285","301","263","282","540","753","753","708","717","642","861","829","860","749","580","407","307","189","56","10","4"
"서울특별시 영등포구 영등포동(1156053500)","30,038","30,038","606","515","396","428","1,911","6,032","5,495","2,955","2,056","1,439","1,687","1,548","1,587","1,272","823","575","396","215","79","21","2","15,330","15,330","309","249","208","213","611","2,564","2,886","1,615","1,145","820","1,013","951","962","744","465","267","192","81","23","12","0","14,708","14,708","297","266","188","215","1,300","3,468","2,609","1,340","911","619","674","597","625","528","358","308","204","134","56","9","2"
"서울특별시 영등포구 여의동(1156054000)","32,189","32,189","933","1,419","1,578","1,376","1,492","1,986","2,281","2,256","2,748","2,406","2,702","2,384","2,278","1,910","1,393","1,235","967","597","196","45","7","15,108","15,108","466","747","787","688","704","901","1,010","1,012","1,267","1,162","1,270","1,171","1,065","899","653","556","409","249","75","14","3","17,081","17,081","467","672","791","688","788","1,085","1,271","1,244","1,481","1,244","1,432","1,213","1,213","1,011","740","679","558","348","121","31","4"
"서울특별시 영등포구 당산제1동(1156055000)","20,712","20,712","562","443","422","493","1,129","2,531","2,860","1,877","1,448","1,222","1,479","1,346","1,397","1,241","832","639","446","249","84","10","2","10,013","10,013","280","232","221","252","463","1,103","1,432","970","750","617","739","702","680","575","391","289","191","101","22","3","0","10,699","10,699","282","211","201","241","666","1,428","1,428","907","698","605","740","644","717","666","441","350","255","148","62","7","2"
"서울특별시 영등포구 당산제2동(1156056000)","36,537","36,537","1,165","1,263","1,198","1,138","2,193","4,624","4,749","3,362","2,903","2,287","2,474","2,106","2,164","1,661","1,244","877","637","354","107","25","6","17,031","17,031","617","659","592","553","814","1,862","2,178","1,647","1,451","1,128","1,194","1,016","1,060","793","597","420","263","139","40","5","3","19,506","19,506","548","604","606","585","1,379","2,762","2,571","1,715","1,452","1,159","1,280","1,090","1,104","868","647","457","374","215","67","20","3"
"서울특별시 영등포구 도림동(1156058500)","17,604","17,604","456","397","384","451","915","1,643","1,867","1,390","1,305","1,143","1,511","1,367","1,438","1,080","804","640","491","239","68","12","3","8,909","8,909","233","200","209","252","402","813","977","732","720","591","801","723","772","525","371","287","194","87","14","5","1","8,695","8,695","223","197","175","199","513","830","890","658","585","552","710","644","666","555","433","353","297","152","54","7","2"
"서울특별시 영등포구 문래동(1156060500)","31,991","31,991","1,270","1,672","1,579","1,398","1,535","1,972","2,664","2,904","3,253","2,704","2,563","1,848","1,751","1,665","1,188","909","645","339","113","16","3","15,589","15,589","639","881","791","749","769","901","1,227","1,411","1,617","1,373","1,287","925","828","751","563","425","288","124","33","6","1","16,402","16,402","631","791","788","649","766","1,071","1,437","1,493","1,636","1,331","1,276","923","923","914","625","484","357","215","80","10","2"
"서울특별시 영등포구 양평제1동(1156061000)","18,104","18,104","643","542","497","506","972","1,986","2,521","2,013","1,666","1,291","1,184","916","932","765","582","486","373","164","48","16","1","8,737","8,737","339","288","260","245","393","814","1,215","1,060","868","678","623","462","440","344","265","203","163","60","14","2","1","9,367","9,367","304","254","237","261","579","1,172","1,306","953","798","613","561","454","492","421","317","283","210","104","34","14","0"
"서울특별시 영등포구 양평제2동(1156062000)","22,395","22,395","806","702","638","774","1,262","2,424","3,057","2,393","1,788","1,485","1,652","1,360","1,322","990","647","489","364","160","67","13","2","10,867","10,867","380","349","343","412","586","1,033","1,453","1,250","912","711","817","729","646","501","308","215","135","62","21","4","0","11,528","11,528","426","353","295","362","676","1,391","1,604","1,143","876","774","835","631","676","489","339","274","229","98","46","9","2"
